Id.human	Id.hamster	symbol.human	symbol.hamster
143	101843222	PARP4	Parp4
146	101828790	ADRA1D	Adra1d
147	101843941	ADRA1B	Adra1b
148	101834375	ADRA1A	Adra1a
150	101836935	ADRA2A	Adra2a
151	101832526	ADRA2B	Adra2b
152	101842237	ADRA2C	Adra2c
153	101830640	ADRB1	Adrb1
154	101836719	ADRB2	Adrb2
155	101825029	ADRB3	Adrb3
156	101825875	GRK2	Grk2
157	101842273	GRK3	Grk3
158	101836336	ADSL	Adsl
159	101838680	ADSS2	Adss2
160	101829481	AP2A1	Ap2a1
161	101833204	AP2A2	Ap2a2
162	101838844	AP1B1	Ap1b1
163	101833520	AP2B1	Ap2b1
164	101843403	AP1G1	Ap1g1
165	101839092	AEBP1	Aebp1
166	101838695	TLE5	Tle5
167	101829885	CRISP1	Crisp1
173	101836963	AFM	Afm
174	101837774	AFP	LOC101837774
175	101832960	AGA	Aga
176	101844842	ACAN	Acan
177	101842404	AGER	Ager
178	101834646	AGL	Agl
181	101828730	AGRP	LOC101828730
182	101836967	JAG1	Jag1
183	101824386	AGT	Agt
185	101834569	AGTR1	Agtr1
186	101830494	AGTR2	Agtr2
187	101841505	APLNR	Aplnr
189	101836461	AGXT	Agxt
190	101827866	NR0B1	Nr0b1
191	101822892	AHCY	Ahcy
196	101840826	AHR	Ahr
197	101825313	AHSG	Ahsg
199	101844620	AIF1	Aif1
202	101823286	CRYBG1	Crybg1
203	101833474	AK1	Ak1
204	101844211	AK2	Ak2
205	101822716	AK4	Ak4
207	101825464	AKT1	Akt1
208	101842312	AKT2	Akt2
210	101826971	ALAD	Alad
211	101822757	ALAS1	Alas1
212	101838716	ALAS2	Alas2
213	101837229	ALB	Alb
214	101826371	ALCAM	Alcam
215	101835556	ABCD1	Abcd1
217	101831877	ALDH2	Aldh2
218	101837223	ALDH3A1	Aldh3a1
219	101842889	ALDH1B1	Aldh1b1
220	101827627	ALDH1A3	Aldh1a3
221	101842109	ALDH3B1	Aldh3b1
223	101838319	ALDH9A1	Aldh9a1
224	101827997	ALDH3A2	Aldh3a2
225	101842764	ABCD2	Abcd2
226	101839423	ALDOA	Aldoa
229	101835266	ALDOB	Aldob
230	101828733	ALDOC	Aldoc
238	101826367	ALK	Alk
240	101839970	ALOX5	Alox5
241	101838694	ALOX5AP	LOC101838694
242	101838730	ALOX12B	Alox12b
247	101838120	ALOX15B	Alox15b
248	101831520	ALPI	Alpi
249	101828395	ALPL	Alpl
257	101825677	ALX3	Alx3
258	101841060	AMBN	Ambn
259	101840661	AMBP	LOC101840661
262	101832367	AMD1	Amd1
265	101836368	AMELX	Amelx
267	101823213	AMFR	Amfr
268	101826563	AMH	Amh
269	101825305	AMHR2	Amhr2
270	101842266	AMPD1	Ampd1
271	101830612	AMPD2	Ampd2
272	101841090	AMPD3	Ampd3
273	101834895	AMPH	Amph
274	101832587	BIN1	Bin1
275	101839922	AMT	Amt
283	101839361	ANG	Ang
284	101829973	ANGPT1	Angpt1
285	101835194	ANGPT2	Angpt2
286	101835998	ANK1	Ank1
287	101833016	ANK2	Ank2
288	101830956	ANK3	Ank3
290	101825331	ANPEP	LOC101825331
291	101823968	SLC25A4	Slc25a4
292	110343395	SLC25A5	Slc25a5
301	101823325	ANXA1	Anxa1
302	101835510	ANXA2	Anxa2
306	101830141	ANXA3	Anxa3
307	101833062	ANXA4	Anxa4
308	101843042	ANXA5	Anxa5
309	101840343	ANXA6	Anxa6
310	101835101	ANXA7	Anxa7
311	101824837	ANXA11	Anxa11
312	101826996	ANXA13	Anxa13
313	101823247	AOAH	Aoah
317	101832699	APAF1	Apaf1
318	101844845	NUDT2	Nudt2
319	101828122	APOF	Apof
320	101838273	APBA1	Apba1
321	101823765	APBA2	Apba2
322	101825033	APBB1	Apbb1
323	101824698	APBB2	Apbb2
324	101840602	APC	Apc
325	101826113	APCS	Apcs
326	101830776	AIRE	Aire
327	101837793	APEH	Apeh
328	101834958	APEX1	Apex1
329	101835694	BIRC2	Birc2
331	101824803	XIAP	LOC101824803
332	101828099	BIRC5	Birc5
333	101836136	APLP1	Aplp1
334	101833026	APLP2	Aplp2
335	101841336	APOA1	Apoa1
336	101840339	APOA2	Apoa2
337	101831562	APOA4	Apoa4
338	101840391	APOB	Apob
339	101825976	APOBEC1	Apobec1
341	101825021	APOC1	Apoc1
343	101823151	AQP8	Aqp8
344	101839353	APOC2	Apoc2
345	101831297	APOC3	Apoc3
346	121132722	APOC4	Apoc4
347	110341130	APOD	Apod
348	101839625	APOE	Apoe
350	101836971	APOH	Apoh
351	101836288	APP	LOC101836288
353	101824530	APRT	Aprt
355	101823945	FAS	Fas
356	101843397	FASLG	Faslg
358	101840115	AQP1	Aqp1
359	101822818	AQP2	Aqp2
360	101823924	AQP3	Aqp3
361	101833465	AQP4	Aqp4
362	101823084	AQP5	Aqp5
363	101823354	AQP6	Aqp6
364	101837538	AQP7	Aqp7
366	101831056	AQP9	Aqp9
367	101838789	AR	Ar
368	101836155	ABCC6	Abcc6
369	101826679	ARAF	Araf
372	101834175	ARCN1	Arcn1
373	101830923	TRIM23	Trim23
374	101837230	AREG	Areg
375	101825902	ARF1	Arf1
377	101837927	ARF3	Arf3
378	101834740	ARF4	Arf4
379	101832970	ARL4D	Arl4d
381	101835521	ARF5	Arf5
382	101837062	ARF6	Arf6
383	101825450	ARG1	Arg1
384	101825479	ARG2	Arg2
387	101831918	RHOA	Rhoa
388	101839588	RHOB	Rhob
389	101837880	RHOC	Rhoc
390	101843577	RND3	Rnd3
391	101825060	RHOG	Rhog
392	101840868	ARHGAP1	Arhgap1
393	101832163	ARHGAP4	Arhgap4
394	101832390	ARHGAP5	Arhgap5
395	101837525	ARHGAP6	Arhgap6
396	101838210	ARHGDIA	Arhgdia
397	101829077	ARHGDIB	Arhgdib
398	101837361	ARHGDIG	Arhgdig
399	101826887	RHOH	Rhoh
400	101827220	ARL1	Arl1
401	101840924	PHOX2A	Phox2a
402	101822617	ARL2	Arl2
403	101831436	ARL3	Arl3
405	101843258	ARNT	Arnt
406	101835598	ARNTL	Arntl
408	101830519	ARRB1	Arrb1
409	101837931	ARRB2	Arrb2
410	101839260	ARSA	Arsa
411	101825537	ARSB	Arsb
415	101835174	ARSL	Arsl
417	101823110	ART1	Art1
419	101832520	ART3	Art3
420	101828808	ART4	Art4
421	101835259	ARVCF	Arvcf
427	101840880	ASAH1	Asah1
429	101844893	ASCL1	Ascl1
430	101824027	ASCL2	Ascl2
432	101824668	ASGR1	Asgr1
434	101823154	ASIP	LOC101823154
435	101836637	ASL	Asl
438	101839364	ASMT	Asmt
439	101839795	GET3	Get3
440	101836926	ASNS	Asns
443	101825641	ASPA	Aspa
444	101826336	ASPH	Asph
445	101834326	ASS1	Ass1
460	101839462	ASTN1	Astn1
462	101831129	SERPINC1	Serpinc1
463	101832716	ZFHX3	Zfhx3
466	101825639	ATF1	Atf1
467	101841654	ATF3	Atf3
468	101834246	ATF4	Atf4
471	101828537	ATIC	Atic
472	101838396	ATM	Atm
473	101826986	RERE	Rere
474	101831588	ATOH1	Atoh1
475	101839640	ATOX1	Atox1
476	101828029	ATP1A1	Atp1a1
477	101844313	ATP1A2	Atp1a2
478	101828152	ATP1A3	Atp1a3
479	101844033	ATP12A	Atp12a
481	101828802	ATP1B1	Atp1b1
482	101833660	ATP1B2	Atp1b2
483	101836917	ATP1B3	Atp1b3
486	106021095	FXYD2	Fxyd2
487	101824306	ATP2A1	Atp2a1
488	101841211	ATP2A2	Atp2a2
489	101828431	ATP2A3	Atp2a3
490	101838198	ATP2B1	Atp2b1
491	101825024	ATP2B2	Atp2b2
492	101840779	ATP2B3	Atp2b3
493	101826619	ATP2B4	Atp2b4
495	101834043	ATP4A	Atp4a
496	101840044	ATP4B	Atp4b
498	101843952	ATP5F1A	Atp5f1a
501	101822560	ALDH7A1	Aldh7a1
506	121143249	ATP5F1B	Atp5f1b
509	101835321	ATP5F1C	Atp5f1c
513	101835624	ATP5F1D	Atp5f1d
514	101837160	ATP5F1E	Atp5f1e
515	101841898	ATP5PB	Atp5pb
516	101841091	ATP5MC1	Atp5mc1
517	101824510	ATP5MC2	Atp5mc2
518	101836498	ATP5MC3	Atp5mc3
521	106021718	ATP5ME	Atp5me
522	101840812	ATP5PF	Atp5pf
523	101838138	ATP6V1A	Atp6v1a
525	101844908	ATP6V1B1	Atp6v1b1
526	101842699	ATP6V1B2	Atp6v1b2
527	101834495	ATP6V0C	Atp6v0c
528	101831576	ATP6V1C1	Atp6v1c1
529	101829047	ATP6V1E1	Atp6v1e1
533	101835568	ATP6V0B	Atp6v0b
534	101842754	ATP6V1G2	Atp6v1g2
535	101833148	ATP6V0A1	Atp6v0a1
537	101827210	ATP6AP1	Atp6ap1
538	101828330	ATP7A	Atp7a
539	110341601	ATP5PO	Atp5po
540	101837120	ATP7B	Atp7b
545	101835868	ATR	Atr
546	101830205	ATRX	Atrx
547	101836725	KIF1A	Kif1a
549	101830492	AUH	Auh
550	101833434	AUP1	Aup1
551	101826695	AVP	LOC101826695
552	121143268	AVPR1A	Avpr1a
553	101837620	AVPR1B	Avpr1b
554	101832425	AVPR2	Avpr2
558	101843155	AXL	Axl
563	101831605	AZGP1	Azgp1
567	101843036	B2M	B2m
571	101838054	BACH1	Bach1
572	101836153	BAD	Bad
573	101824633	BAG1	Bag1
575	101844778	ADGRB1	Adgrb1
576	101836127	ADGRB2	Adgrb2
577	101832687	ADGRB3	Adgrb3
578	101838274	BAK1	Bak1
579	101831477	NKX3-2	Nkx3-2
580	101829247	BARD1	Bard1
581	101842912	BAX	Bax
582	101839161	BBS1	Bbs1
583	101822950	BBS2	Bbs2
585	101823803	BBS4	Bbs4
586	101835684	BCAT1	Bcat1
587	101842389	BCAT2	Bcat2
590	101824800	BCHE	Bche
593	101835122	BCKDHA	Bckdha
594	101837870	BCKDHB	Bckdhb
595	101837554	CCND1	Ccnd1
596	101833785	BCL2	Bcl2
597	101827994	BCL2A1	Bcl2a1
598	101834682	BCL2L1	Bcl2l1
602	101825538	BCL3	Bcl3
604	101844909	BCL6	Bcl6
605	121133914	BCL7A	Bcl7a
607	101839507	BCL9	Bcl9
608	110339640	TNFRSF17	Tnfrsf17
610	101843899	HCN2	Hcn2
611	101836432	OPN1SW	Opn1sw
613	101824870	BCR	Bcr
617	101843673	BCS1L	LOC101843673
622	101823547	BDH1	Bdh1
623	101837673	BDKRB1	Bdkrb1
624	101837939	BDKRB2	Bdkrb2
627	101837384	BDNF	Bdnf
629	101829676	CFB	Cfb
631	101833577	BFSP1	Bfsp1
632	101822409	BGLAP	LOC101822409
633	101837392	BGN	Bgn
634	101829495	CEACAM1	Ceacam1
635	101832592	BHMT	Bhmt
636	101839382	BICD1	Bicd1
637	110340167	BID	Bid
638	101823525	BIK	Bik
639	101840799	PRDM1	Prdm1
640	101842881	BLK	Blk
641	101826285	BLM	Blm
642	101834077	BLMH	Blmh
643	101833055	CXCR5	Cxcr5
644	101830950	BLVRA	Blvra
645	101844617	BLVRB	Blvrb
646	101837263	BNC1	Bnc1
648	101840850	BMI1	Bmi1
649	101840264	BMP1	Bmp1
650	101833665	BMP2	Bmp2
651	101829414	BMP3	Bmp3
652	101828063	BMP4	Bmp4
653	101824438	BMP5	Bmp5
654	101826067	BMP6	Bmp6
655	101830075	BMP7	Bmp7
657	101824186	BMPR1A	Bmpr1a
658	101835618	BMPR1B	Bmpr1b
659	101843211	BMPR2	Bmpr2
660	101823555	BMX	Bmx
661	101841341	POLR3D	Polr3d
662	101831909	BNIP1	Bnip1
663	101834287	BNIP2	Bnip2
664	106022085	BNIP3	Bnip3
665	101832990	BNIP3L	Bnip3l
666	101832997	BOK	Bok
667	101838497	DST	Dst
668	101827829	FOXL2	Foxl2
669	101840847	BPGM	Bpgm
670	101834783	BPHL	Bphl
671	101827269	BPI	Bpi
672	101840909	BRCA1	Brca1
673	101823512	BRAF	Braf
675	101844060	BRCA2	Brca2
676	101824097	BRDT	Brdt
677	101824432	ZFP36L1	Zfp36l1
678	121137000	ZFP36L2	Zfp36l2
680	101833968	BRS3	Brs3
682	101841926	BSG	Bsg
683	101829693	BST1	Bst1
684	101836424	BST2	Bst2
685	101836964	BTC	Btc
686	101832998	BTD	Btd
687	101831086	KLF9	Klf9
688	101829331	KLF5	Klf5
689	101840709	BTF3	Btf3
694	101835566	BTG1	Btg1
695	101840648	BTK	Btk
696	101831637	BTN1A1	Btn1a1
699	101823535	BUB1	Bub1
701	101826222	BUB1B	Bub1b
705	101830161	BYSL	Bysl
706	101824050	TSPO	Tspo
708	101833822	C1QBP	LOC101833822
710	101844606	SERPING1	Serping1
712	101825770	C1QA	C1qa
713	101825252	C1QB	C1qb
714	101825510	C1QC	C1qc
715	101837653	C1R	C1r
716	101823163	C1S	C1s
717	101829138	C2	C2
718	101842900	C3	C3
719	101825453	C3AR1	C3ar1
720	101830930	C4A	C4a
722	101826821	C4BPA	C4bpa
725	101826554	C4BPB	C4bpb
726	101824532	CAPN5	Capn5
728	101834425	C5AR1	C5ar1
729	101829672	C6	C6
730	101829944	C7	C7
731	101844815	C8A	C8a
732	101822474	C8B	C8b
733	101844697	C8G	C8g
734	101825032	OSGIN2	Osgin2
735	101824004	C9	C9
738	101824574	VPS51	Vps51
740	101834613	MRPL49	Mrpl49
741	101824831	ZNHIT2	Znhit2
744	101838975	MPPED2	Mpped2
745	101843535	MYRF	Myrf
746	101843805	TMEM258	Tmem258
747	101843259	DAGLA	Dagla
752	101824251	FMNL1	Fmnl1
753	101826531	LDLRAD4	Ldlrad4
754	101832018	PTTG1IP	LOC101832018
755	101832534	CFAP410	Cfap410
757	101828811	TMEM50B	Tmem50b
758	101824324	MPPED1	Mpped1
759	101822367	CA1	Ca1
760	101822909	CA2	Ca2
761	101822636	CA3	Ca3
762	101826722	CA4	Ca4
763	101842791	CA5A	Ca5a
765	101830181	CA6	Ca6
766	101837804	CA7	Ca7
767	101824929	CA8	Ca8
768	101832653	CA9	Ca9
770	101840862	CA11	Ca11
771	101840930	CA12	Ca12
773	101838455	CACNA1A	Cacna1a
774	101836565	CACNA1B	Cacna1b
775	101834428	CACNA1C	Cacna1c
776	101825756	CACNA1D	Cacna1d
777	101833242	CACNA1E	Cacna1e
778	101830198	CACNA1F	Cacna1f
779	101835763	CACNA1S	Cacna1s
780	101829311	DDR1	Ddr1
781	101835530	CACNA2D1	Cacna2d1
782	101838500	CACNB1	Cacnb1
783	101825511	CACNB2	Cacnb2
784	101836179	CACNB3	Cacnb3
785	101844274	CACNB4	Cacnb4
786	101838313	CACNG1	Cacng1
788	101822756	SLC25A20	Slc25a20
790	101843763	CAD	Cad
793	101825551	CALB1	Calb1
794	101834550	CALB2	Calb2
795	101826369	S100G	S100g
799	101834842	CALCR	Calcr
800	106022153	CALD1	Cald1
801	101828975	CALM1	Calm1
805	101832379	CALM2	Calm2
808	101823161	CALM3	Calm3
811	101838124	CALR	Calr
813	101825241	CALU	Calu
814	101841141	CAMK4	Camk4
815	101841273	CAMK2A	Camk2a
816	101833722	CAMK2B	Camk2b
817	101833285	CAMK2D	Camk2d
818	101830635	CAMK2G	Camk2g
819	101832122	CAMLG	Camlg
820	101829350	CAMP	LOC101829350
821	101828013	CANX	Canx
822	101825334	CAPG	Capg
823	101834701	CAPN1	Capn1
824	101833693	CAPN2	Capn2
825	101822522	CAPN3	Capn3
826	101843164	CAPNS1	Capns1
827	101823053	CAPN6	Capn6
828	101829107	CAPS	Caps
829	101838413	CAPZA1	Capza1
830	101832305	CAPZA2	Capza2
831	101839432	CAST	Cast
832	101834920	CAPZB	Capzb
833	101823231	CARS1	Cars1
835	101832827	CASP2	Casp2
836	101828960	CASP3	Casp3
839	101826042	CASP6	Casp6
840	101825089	CASP7	Casp7
841	101825474	CASP8	Casp8
842	101844218	CASP9	Casp9
844	101830350	CASQ1	Casq1
845	101829540	CASQ2	Casq2
846	101837593	CASR	Casr
847	101824222	CAT	Cat
857	101825769	CAV1	Cav1
858	106020726	CAV2	Cav2
859	101834069	CAV3	Cav3
860	101835587	RUNX2	Runx2
861	101825482	RUNX1	Runx1
862	101827990	RUNX1T1	Runx1t1
863	101825317	CBFA2T3	Cbfa2t3
864	101836634	RUNX3	Runx3
865	101843496	CBFB	Cbfb
866	101838201	SERPINA6	Serpina6
867	101827577	CBL	Cbl
868	101826106	CBLB	Cblb
869	101841823	CBLN1	Cbln1
871	101829082	SERPINH1	Serpinh1
874	106021442	CBR3	Cbr3
875	101827489	CBS	Cbs
881	101827518	CCIN	Ccin
883	101827373	KYAT1	Kyat1
885	101844223	CCK	Cck
886	101841605	CCKAR	Cckar
887	101827214	CCKBR	Cckbr
889	101822424	KRIT1	Krit1
890	101835930	CCNA2	Ccna2
891	101836169	CCNB1	Ccnb1
892	101827113	CCNC	Ccnc
894	101835885	CCND2	Ccnd2
896	101829610	CCND3	Ccnd3
898	101826826	CCNE1	Ccne1
899	101824058	CCNF	Ccnf
900	101826445	CCNG1	Ccng1
901	101830947	CCNG2	Ccng2
902	101834865	CCNH	Ccnh
904	101835133	CCNT1	Ccnt1
905	101822869	CCNT2	Ccnt2
908	101831920	CCT6A	Cct6a
912	101840477	CD1D	Cd1d
914	101840383	CD2	Cd2
915	101836347	CD3D	Cd3d
916	101836794	CD3E	Cd3e
917	101829421	CD3G	Cd3g
919	101835063	CD247	Cd247
920	101836856	CD4	Cd4
921	101828053	CD5	Cd5
922	101841828	CD5L	Cd5l
923	101839339	CD6	Cd6
924	101836972	CD7	Cd7
925	101841812	CD8A	Cd8a
926	110342005	CD8B	Cd8b
928	101841222	CD9	Cd9
929	101839548	CD14	Cd14
930	121143240	CD19	Cd19
931	101836488	MS4A1	Ms4a1
932	101824379	MS4A3	Ms4a3
933	101833012	CD22	Cd22
939	101831171	CD27	Cd27
940	101842150	CD28	Cd28
941	101841978	CD80	Cd80
942	101837327	CD86	Cd86
943	101833085	TNFRSF8	Tnfrsf8
944	101839038	TNFSF8	Tnfsf8
947	101833962	CD34	Cd34
948	101829279	CD36	Cd36
949	101843890	SCARB1	Scarb1
950	101832258	SCARB2	Scarb2
951	101824219	CD37	Cd37
952	101825392	CD38	Cd38
953	101840694	ENTPD1	Entpd1
954	101826048	ENTPD2	Entpd2
955	101832979	ENTPD6	Entpd6
956	101823414	ENTPD3	Entpd3
957	101836947	ENTPD5	Entpd5
958	101822705	CD40	Cd40
959	101834854	CD40LG	Cd40lg
960	101826056	CD44	Cd44
962	101823040	CD48	Cd48
963	101822764	CD53	Cd53
966	101837826	CD59	Cd59
967	101842275	CD63	Cd63
968	101832344	CD68	Cd68
970	101843429	CD70	Cd70
971	101835179	CD72	Cd72
972	101841546	CD74	Cd74
973	110339489	CD79A	Cd79a
974	101843129	CD79B	Cd79b
975	101822794	CD81	Cd81
976	101840617	ADGRE5	Adgre5
977	101834772	CD151	Cd151
978	106022025	CDA	Cda
983	101831568	CDK1	Cdk1
987	101839934	LRBA	Lrba
988	101837148	CDC5L	Cdc5l
989	101842628	SEPTIN7	Septin7
990	101824358	CDC6	Cdc6
991	101826922	CDC20	Cdc20
993	101826345	CDC25A	Cdc25a
994	101825908	CDC25B	Cdc25b
995	101828859	CDC25C	Cdc25c
996	101835061	CDC27	Cdc27
997	101844153	CDC34	Cdc34
998	101826731	CDC42	Cdc42
999	101836544	CDH1	Cdh1
1000	101832943	CDH2	Cdh2
1001	101824094	CDH3	Cdh3
1002	101839572	CDH4	Cdh4
1003	101835606	CDH5	Cdh5
1004	101843692	CDH6	Cdh6
1005	106022710	CDH7	Cdh7
1006	101822592	CDH8	Cdh8
1007	101833101	CDH9	Cdh9
1009	101835342	CDH11	Cdh11
1010	106022045	CDH12	Cdh12
1012	101832544	CDH13	Cdh13
1013	101826186	CDH15	Cdh15
1014	101838683	CDH16	Cdh16
1015	101841316	CDH17	Cdh17
1016	101837543	CDH18	Cdh18
1017	101844411	CDK2	Cdk2
1018	101823985	CDK3	Cdk3
1019	101839492	CDK4	Cdk4
1020	101836859	CDK5	Cdk5
1021	101823943	CDK6	Cdk6
1022	101824653	CDK7	Cdk7
1024	101831421	CDK8	Cdk8
1025	101832954	CDK9	Cdk9
1026	101826412	CDKN1A	Cdkn1a
1027	101844027	CDKN1B	Cdkn1b
1028	101843982	CDKN1C	Cdkn1c
1030	101825579	CDKN2B	Cdkn2b
1031	101828904	CDKN2C	Cdkn2c
1032	101831333	CDKN2D	Cdkn2d
1033	101828513	CDKN3	Cdkn3
1036	101832528	CDO1	Cdo1
1038	101841855	CDR1	Cdr1
1039	101831624	CDR2	Cdr2
1040	101840665	CDS1	Cds1
1041	101835045	CDSN	Cdsn
1043	101831152	CD52	Cd52
1044	101840466	CDX1	Cdx1
1045	101841392	CDX2	Cdx2
1046	101839436	CDX4	Cdx4
1047	101827254	CLGN	Clgn
1050	101828666	CEBPA	Cebpa
1051	121134467	CEBPB	Cebpb
1052	101836131	CEBPD	Cebpd
1053	101842053	CEBPE	Cebpe
1054	101828934	CEBPG	Cebpg
1056	101833367	CEL	Cel
1058	101823197	CENPA	Cenpa
1059	101825649	CENPB	Cenpb
1060	101823714	CENPC	Cenpc
1062	101825954	CENPE	Cenpe
1063	101837995	CENPF	Cenpf
1068	101841391	CETN1	Cetn1
1069	101826158	CETN2	Cetn2
1070	101836854	CETN3	Cetn3
1071	101825761	CETP	LOC101825761
1072	101826507	CFL1	Cfl1
1073	101841292	CFL2	Cfl2
1075	101839953	CTSC	Ctsc
1080	101831516	CFTR	Cftr
1081	101835965	CGA	Cga
1101	101842965	CHAD	Chad
1102	101835235	RCBTB2	Rcbtb2
1103	101829899	CHAT	Chat
1104	101826644	RCC1	Rcc1
1105	101825603	CHD1	Chd1
1106	106022371	CHD2	Chd2
1107	101842938	CHD3	Chd3
1108	106023215	CHD4	Chd4
1111	101843181	CHEK1	Chek1
1112	101829691	FOXN3	Foxn3
1113	101823534	CHGA	Chga
1114	101831739	CHGB	Chgb
1116	101822843	CHI3L1	Chi3l1
1118	101822576	CHIT1	Chit1
1119	101842385	CHKA	Chka
1120	101838118	CHKB	Chkb
1121	101826738	CHM	Chm
1122	106021792	CHML	Chml
1123	101837026	CHN1	Chn1
1124	101843500	CHN2	Chn2
1128	101828505	CHRM1	Chrm1
1129	101844151	CHRM2	Chrm2
1130	101842610	LYST	Lyst
1131	101827236	CHRM3	Chrm3
1132	101839693	CHRM4	Chrm4
1133	101827372	CHRM5	Chrm5
1134	101833462	CHRNA1	Chrna1
1135	101836117	CHRNA2	Chrna2
1136	101840797	CHRNA3	Chrna3
1137	101823556	CHRNA4	Chrna4
1138	101840534	CHRNA5	Chrna5
1139	101844432	CHRNA7	Chrna7
1140	101841597	CHRNB1	Chrnb1
1141	101842985	CHRNB2	Chrnb2
1142	101825548	CHRNB3	Chrnb3
1143	101841066	CHRNB4	Chrnb4
1144	101844488	CHRND	Chrnd
1145	101841253	CHRNE	Chrne
1146	101844222	CHRNG	Chrng
1147	101837015	CHUK	Chuk
1149	101825746	CIDEA	Cidea
1152	101829595	CKB	Ckb
1153	101834929	CIRBP	LOC101834929
1154	101826626	CISH	Cish
1155	101842901	TBCB	Tbcb
1158	101836331	CKM	Ckm
1160	101829397	CKMT2	Ckmt2
1161	101826230	ERCC8	Ercc8
1163	101841017	CKS1B	Cks1b
1164	101832162	CKS2	Cks2
1173	101832974	AP2M1	Ap2m1
1174	110342807	AP1S1	Ap1s1
1175	101824656	AP2S1	Ap2s1
1176	101831654	AP3S1	Ap3s1
1180	101832571	CLCN1	Clcn1
1181	101829521	CLCN2	Clcn2
1182	101833599	CLCN3	Clcn3
1183	101834987	CLCN4	Clcn4
1184	101828766	CLCN5	Clcn5
1185	101838344	CLCN6	Clcn6
1186	101834496	CLCN7	Clcn7
1191	101836902	CLU	Clu
1192	101827295	CLIC1	Clic1
1195	101827045	CLK1	Clk1
1196	101832213	CLK2	Clk2
1198	101825823	CLK3	Clk3
1200	101843832	TPP1	Tpp1
1201	101843361	CLN3	Cln3
1203	101828006	CLN5	Cln5
1207	101822755	CLNS1A	Clns1a
1208	101823329	CLPS	Clps
1209	101838824	CLPTM1	Clptm1
1211	101826200	CLTA	Clta
1212	101827944	CLTB	Cltb
1213	101822493	CLTC	Cltc
1232	101834222	CCR3	Ccr3
1233	101838407	CCR4	Ccr4
1235	101844228	CCR6	Ccr6
1236	101827507	CCR7	Ccr7
1237	101825257	CCR8	Ccr8
1238	101835097	ACKR2	Ackr2
1240	101844048	CMKLR1	Cmklr1
1241	101841037	LTB4R	Ltb4r
1244	101838437	ABCC2	Abcc2
1259	101826392	CNGA1	Cnga1
1260	101823343	CNGA2	Cnga2
1261	101833600	CNGA3	Cnga3
1262	101827472	CNGA4	Cnga4
1263	101834719	PLK3	Plk3
1264	101824102	CNN1	Cnn1
1265	101837999	CNN2	Cnn2
1266	101837342	CNN3	Cnn3
1267	101830936	CNP	LOC101830936
1268	101838427	CNR1	Cnr1
